#-------------------------------
# The Ultimate Trial
# Boss Rush Mode
#-------------------------------
# Set: The Mansion of Mystery
#-------------------------------
[KEINE,Keine Kamishirasawa,500]
Pokemon = KEINE,100
	Moves = SONICBOOM18,MANABURST18,CALMMIND18,WISH18
	Nature = CALM
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 252,0,0,0,4,252
	Ability = GUARDARMOR
Pokemon = DMOKOU,100
	Moves = HEATWAVE18,ENERGYBALL18,RECOVER18,WILLOWISP18
	Nature = BOLD
	Item = LEFTOVERS
	IV = 31,31,31,31,31,31
	EV = 252,0,252,0,0,4
	Ability = NATURALCURE
Pokemon = KOSUZU,100
	Moves = TRIATTACK18,ICEBEAM18,TOXIC18,SLACKOFF18
	Nature = CALM
	Item = ANTIFAITH
	IV = 31,31,31,31,31,31
	EV = 252,0,4,0,0,252
	Ability = OWNTEMPO
Pokemon = RINNOSUKE,100
	Moves = DRAWNLINE18,IRONDEFENSE18,STRENGTH18,MIRRORCOAT18
	Nature = IMPISH
	Item = YATAMIRROR
	IV = 31,31,31,31,31,31
	EV = 252,4,252,0,0,0
	Ability = COLLECTOR
Pokemon = AKEINE,100
	Moves = DOUBLEEDGE18,HEADSMASH18,THUNDERPUNCH18,FIREPUNCH18
	Nature = ADAMANT
	Item = CHOICEBAND
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = ROCKHEAD
Pokemon = AREIMU,100
    Moves = SOAR18,HIJUMPKICK18,OUTRAGE18,TAILWIND18
	Nature = JOLLY
	Item = LIFEORB
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
#-------------------------------
[MARISA,Marisa Kirisame,500]
Pokemon = TALICE,100
	Moves = MAGICKNIFE18,SWORDSDANCE18,ICEPUNCH18,FIREPUNCH18
	Nature = JOLLY
	Item = LUMBERRY
	IV = 31,31,31,31,31,31
	EV = 4,252,0,252,0,0
	Ability = BARRIER
Pokemon = RINNOSUKE,100
	Moves = DRAWNLINE18,MINDBOMB18,SWORDSDANCE18,SHADOWHIT18
	Nature = ADAMANT
	Item = KUSANAGI
